departamento,valor_adjudicado,fecha_publicacion,estado_adjudicacion,anio_publicacion
DISTRITO CAPITAL DE BOGOTÁ,0,2024-10-30,NO,2024.0
NORTE DE SANTANDER,0,2022-11-09,NO,2022.0
CUNDINAMARCA,0,2022-01-27,NO,2022.0
CESAR,0,2022-01-23,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-28,NO,2022.0
BOLÍVAR,11832849,2020-07-09,SI,2020.0
NO DEFINIDO,0,2024-09-17,NO,2024.0
VALLE DEL CAUCA,0,2025-05-01,NO,2025.0
BOLÍVAR,0,2026-02-24,NO,2026.0
VALLE DEL CAUCA,99845463,2022-11-08,SI,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-19,NO,2026.0
MAGDALENA,0,2025-03-05,NO,2025.0
ANTIOQUIA,0,2021-09-02,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,30000,2024-09-18,SI,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-01-28,NO,2025.0
SUCRE,0,2026-01-30,NO,2026.0
VALLE DEL CAUCA,0,2024-02-16,NO,2024.0
QUINDÍO,0,2025-01-08,NO,2025.0
NO DEFINIDO,0,2023-01-05,NO,2023.0
VALLE DEL CAUCA,0,2025-12-02,NO,2025.0
CALDAS,0,2025-10-03,NO,2025.0
CESAR,0,2024-07-09,NO,2024.0
NARIÑO,0,2024-08-26,NO,2024.0
CAUCA,94844000,2023-12-14,SI,2023.0
VALLE DEL CAUCA,0,2024-04-18,NO,2024.0
CÓRDOBA,0,2025-07-02,NO,2025.0
BOLÍVAR,0,2026-01-09,NO,2026.0
VALLE DEL CAUCA,0,2025-06-17,NO,2025.0
CHOCÓ,0,2023-05-26,NO,2023.0
NO DEFINIDO,0,2023-10-02,NO,2023.0
BOYACÁ,0,2024-08-21,NO,2024.0
ANTIOQUIA,0,2026-01-14,NO,2026.0
ANTIOQUIA,0,2024-06-21,NO,2024.0
BOLÍVAR,0,2025-12-16,NO,2025.0
CUNDINAMARCA,0,2023-08-16,NO,2023.0
AMAZONAS,777362559,2025-11-21,SI,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-18,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-06-05,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,45600000,2017-01-12,SI,2017.0
NO DEFINIDO,0,2025-12-16,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-01-22,NO,2024.0
NORTE DE SANTANDER,0,2023-12-01,NO,2023.0
ANTIOQUIA,0,2017-12-05,NO,2017.0
NO DEFINIDO,0,2026-01-09,NO,2026.0
ANTIOQUIA,35000000,2021-12-01,SI,2021.0
CASANARE,229495000,2025-03-20,SI,2025.0
CASANARE,0,2025-09-12,NO,2025.0
HUILA,0,2026-01-29,NO,2026.0
ANTIOQUIA,0,2022-01-05,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-05-14,NO,2020.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-12-03,NO,2023.0
TOLIMA,0,2022-11-21,NO,2022.0
CUNDINAMARCA,0,2023-09-05,NO,2023.0
NO DEFINIDO,0,2024-01-20,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-20,NO,2022.0
NO DEFINIDO,0,2024-08-13,NO,2024.0
ANTIOQUIA,15000000,2023-06-23,SI,2023.0
DISTRITO CAPITAL DE BOGOTÁ,4336000,2023-12-04,SI,2023.0
LA GUAJIRA,35979933,2021-10-11,SI,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-11,NO,2022.0
CESAR,0,2026-03-01,NO,2026.0
ATLÁNTICO,0,2024-03-23,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-04-15,NO,2021.0
BOYACÁ,0,2025-06-09,NO,2025.0
NO DEFINIDO,45000000,2022-11-30,SI,2022.0
ANTIOQUIA,0,2020-07-11,NO,2020.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-05-28,NO,2021.0
CAUCA,0,2023-03-24,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,4460000,2024-10-16,SI,2024.0
SANTANDER,18650000,2021-07-23,SI,2021.0
VALLE DEL CAUCA,0,2024-05-07,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-06-28,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-09-18,NO,2024.0
CUNDINAMARCA,0,2026-03-13,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-01-20,NO,2023.0
BOYACÁ,0,2023-03-16,NO,2023.0
ATLÁNTICO,0,2025-05-27,NO,2025.0
ANTIOQUIA,0,2022-01-11,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-08-03,NO,2020.0
BOLÍVAR,0,2019-02-01,NO,2019.0
SANTANDER,0,2021-08-18,NO,2021.0
VALLE DEL CAUCA,0,2022-08-19,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-02-11,NO,2022.0
META,0,2025-03-17,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-11,NO,2022.0
BOLÍVAR,0,2024-05-25,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-01-21,NO,2020.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-07-24,NO,2025.0
SANTANDER,0,2023-12-30,NO,2023.0
PUTUMAYO,0,2024-04-22,NO,2024.0
NO DEFINIDO,388655304,2025-08-19,SI,2025.0
ANTIOQUIA,0,2023-03-08,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-10-31,NO,2024.0
NO DEFINIDO,0,2024-07-05,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-21,NO,2022.0
NORTE DE SANTANDER,0,2026-03-26,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2019-10-03,NO,2019.0
CUNDINAMARCA,0,2023-12-22,NO,2023.0
NO DEFINIDO,0,2025-06-06,NO,2025.0
HUILA,0,2022-01-19,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-02-25,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-04-19,NO,2023.0
ANTIOQUIA,0,2025-08-21,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2018-02-12,NO,2018.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-07-11,NO,2024.0
VALLE DEL CAUCA,0,2024-09-06,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2018-02-28,NO,2018.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-08-19,NO,2025.0
NARIÑO,0,2023-04-20,NO,2023.0
BOYACÁ,0,2026-01-19,NO,2026.0
ANTIOQUIA,0,2023-04-01,NO,2023.0
SANTANDER,0,2024-07-15,NO,2024.0
TOLIMA,0,2025-01-03,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-07-28,NO,2021.0
ANTIOQUIA,0,2024-10-07,NO,2024.0
CASANARE,2526215300,2025-07-07,SI,2025.0
DISTRITO CAPITAL DE BOGOTÁ,23900000,2019-09-20,SI,2019.0
DISTRITO CAPITAL DE BOGOTÁ,383215000,2021-11-17,SI,2021.0
MAGDALENA,0,2023-10-06,NO,2023.0
SANTANDER,0,2026-01-06,NO,2026.0
CAUCA,0,2025-03-18,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-08-08,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-11-01,NO,2021.0
NARIÑO,0,2025-09-04,NO,2025.0
CALDAS,0,2024-11-27,NO,2024.0
MAGDALENA,0,2026-01-16,NO,2026.0
ATLÁNTICO,0,2024-09-25,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-02-27,NO,2025.0
VALLE DEL CAUCA,0,2023-01-20,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,160486880,2022-05-18,SI,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-06-09,NO,2025.0
ANTIOQUIA,0,2026-03-31,NO,2026.0
TOLIMA,0,2022-01-21,NO,2022.0
HUILA,0,2026-03-28,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,29000000,2017-08-17,SI,2017.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-08-02,NO,2022.0
NORTE DE SANTANDER,6251000,2022-05-17,SI,2022.0
NO DEFINIDO,0,2023-06-08,NO,2023.0
CUNDINAMARCA,0,2023-03-21,NO,2023.0
ANTIOQUIA,0,2026-01-22,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2017-11-17,NO,2017.0
NO DEFINIDO,0,2024-11-15,NO,2024.0
ANTIOQUIA,0,2025-11-21,NO,2025.0
RISARALDA,0,2023-06-07,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-23,NO,2026.0
"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",0,2026-02-04,NO,2026.0
ANTIOQUIA,0,2026-01-13,NO,2026.0
CESAR,0,2025-06-20,NO,2025.0
MAGDALENA,0,2023-01-02,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,12684282,2021-06-03,SI,2021.0
VALLE DEL CAUCA,0,2023-11-15,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-14,NO,2026.0
ANTIOQUIA,0,2021-12-01,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-01-17,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-28,NO,2026.0
QUINDÍO,0,2024-10-31,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,473368137,2017-10-06,SI,2017.0
CÓRDOBA,35708856,2022-05-23,SI,2022.0
SANTANDER,0,2024-09-16,NO,2024.0
ANTIOQUIA,0,2025-12-30,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-05-10,NO,2024.0
BOYACÁ,0,2024-10-23,NO,2024.0
CESAR,0,2021-11-19,NO,2021.0
NORTE DE SANTANDER,0,2023-03-31,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-01-12,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-07-22,NO,2020.0
BOLÍVAR,0,2026-02-24,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-02-28,NO,2025.0
CESAR,0,2026-01-11,NO,2026.0
NO DEFINIDO,0,2022-11-09,NO,2022.0
TOLIMA,0,2021-11-25,NO,2021.0
NORTE DE SANTANDER,0,2022-11-04,NO,2022.0
BOYACÁ,0,2025-09-01,NO,2025.0
ANTIOQUIA,0,2023-02-04,NO,2023.0
VALLE DEL CAUCA,0,2024-01-18,NO,2024.0
META,0,2024-05-23,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-12-22,NO,2023.0
CHOCÓ,0,2022-05-13,NO,2022.0
SANTANDER,0,2024-05-22,NO,2024.0
NARIÑO,0,2026-01-13,NO,2026.0
NARIÑO,0,2023-06-08,NO,2023.0
NARIÑO,0,2024-02-21,NO,2024.0
BOYACÁ,0,2024-04-09,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-04-14,NO,2021.0
HUILA,138954110,2023-11-07,SI,2023.0
MAGDALENA,0,2023-03-09,NO,2023.0
HUILA,0,2025-08-15,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-09-25,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-21,NO,2022.0
BOYACÁ,0,2025-05-13,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,388000000,2021-08-03,SI,2021.0
ANTIOQUIA,0,2025-07-09,NO,2025.0
VALLE DEL CAUCA,0,2023-03-31,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-05-09,NO,2025.0
CAUCA,0,2022-01-17,NO,2022.0
ATLÁNTICO,13169611,2025-09-15,SI,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-19,NO,2026.0
VALLE DEL CAUCA,0,2021-09-13,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-09-06,NO,2025.0
SANTANDER,0,2023-10-29,NO,2023.0
CUNDINAMARCA,0,2025-07-04,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-05-11,NO,2023.0
SANTANDER,0,2024-12-05,NO,2024.0
ANTIOQUIA,0,2023-01-02,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,41500000,2019-12-09,SI,2019.0
VALLE DEL CAUCA,0,2024-07-02,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-03-21,NO,2024.0
CUNDINAMARCA,0,2022-09-07,NO,2022.0
NO DEFINIDO,0,2026-02-05,NO,2026.0
AMAZONAS,0,2024-10-10,NO,2024.0
CAQUETÁ,0,2022-09-13,NO,2022.0
ANTIOQUIA,0,2025-06-11,NO,2025.0
PUTUMAYO,0,2023-01-23,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-04-14,NO,2025.0
VALLE DEL CAUCA,0,2020-11-12,NO,2020.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-12-11,NO,2023.0
META,0,2023-04-10,NO,2023.0
VALLE DEL CAUCA,0,2023-06-14,NO,2023.0
BOLÍVAR,0,2023-02-06,NO,2023.0
SANTANDER,0,2025-05-28,NO,2025.0
CASANARE,0,2020-09-17,NO,2020.0
NARIÑO,0,2026-01-22,NO,2026.0
NO DEFINIDO,0,2024-03-15,NO,2024.0
TOLIMA,0,2026-01-27,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,86990687,2021-06-08,SI,2021.0
CASANARE,4000000,2017-07-17,SI,2017.0
CAUCA,0,2021-08-25,NO,2021.0
VALLE DEL CAUCA,0,2026-01-23,NO,2026.0
CALDAS,0,2024-03-19,NO,2024.0
NO DEFINIDO,0,2026-03-12,NO,2026.0
NARIÑO,37000000,2022-06-15,SI,2022.0
"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",0,2020-02-11,NO,2020.0
CAQUETÁ,0,2024-06-20,NO,2024.0
CUNDINAMARCA,0,2020-10-30,NO,2020.0
ANTIOQUIA,740856350,2022-09-05,SI,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-16,NO,2026.0
CESAR,0,2024-10-29,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-04-01,NO,2022.0
SUCRE,0,2024-03-14,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-07-06,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-02-06,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-03-11,NO,2024.0
SUCRE,0,2025-03-11,NO,2025.0
ANTIOQUIA,0,2024-12-05,NO,2024.0
VALLE DEL CAUCA,0,2025-04-10,NO,2025.0
QUINDÍO,0,2022-11-27,NO,2022.0
PUTUMAYO,0,2021-09-13,NO,2021.0
ANTIOQUIA,0,2025-05-26,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-07,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-11,NO,2022.0
ANTIOQUIA,0,2023-01-04,NO,2023.0
ATLÁNTICO,0,2025-02-19,NO,2025.0
BOYACÁ,0,2025-03-07,NO,2025.0
BOLÍVAR,0,2023-12-11,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-11-11,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-02-13,NO,2023.0
VALLE DEL CAUCA,0,2025-06-14,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-12-03,NO,2024.0
QUINDÍO,0,2022-08-15,NO,2022.0
HUILA,0,2024-08-26,NO,2024.0
ATLÁNTICO,15436735,2025-06-25,SI,2025.0
HUILA,0,2023-07-05,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-03-20,NO,2020.0
ARAUCA,0,2024-04-02,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2018-07-30,NO,2018.0
DISTRITO CAPITAL DE BOGOTÁ,1134441210,2024-09-09,SI,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-05-13,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-10-15,NO,2024.0
VALLE DEL CAUCA,0,2021-08-13,NO,2021.0
CUNDINAMARCA,0,2026-03-06,NO,2026.0
SANTANDER,0,2025-05-26,NO,2025.0
ANTIOQUIA,0,2022-08-05,NO,2022.0
ANTIOQUIA,0,2023-08-03,NO,2023.0
CUNDINAMARCA,0,2025-09-08,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-10-20,NO,2022.0
SANTANDER,0,2025-08-29,NO,2025.0
TOLIMA,0,2023-01-03,NO,2023.0
BOYACÁ,0,2023-07-19,NO,2023.0
SUCRE,0,2021-07-22,NO,2021.0
META,0,2022-10-24,NO,2022.0
"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",12585000,2017-03-10,SI,2017.0
BOYACÁ,0,2024-06-06,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-03-10,NO,2025.0
BOYACÁ,0,2025-10-02,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-05-16,NO,2025.0
CALDAS,0,2023-03-03,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,192372000,2018-09-03,SI,2018.0
VALLE DEL CAUCA,0,2023-11-01,NO,2023.0
SANTANDER,0,2025-10-30,NO,2025.0
ANTIOQUIA,0,2023-02-07,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,790230000,2021-11-19,SI,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-08-29,NO,2025.0
NORTE DE SANTANDER,0,2025-09-17,NO,2025.0
CUNDINAMARCA,0,2023-01-31,NO,2023.0
CHOCÓ,0,2024-05-17,NO,2024.0
CAUCA,0,2025-05-13,NO,2025.0
CASANARE,0,2021-09-20,NO,2021.0
VALLE DEL CAUCA,0,2025-12-04,NO,2025.0
ANTIOQUIA,0,2021-08-23,NO,2021.0
ANTIOQUIA,0,2022-11-15,NO,2022.0
CESAR,0,2023-06-07,NO,2023.0
NO DEFINIDO,0,2022-12-12,NO,2022.0
SANTANDER,0,2025-02-01,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-08-29,NO,2022.0
QUINDÍO,0,2026-01-27,NO,2026.0
QUINDÍO,0,2021-01-21,NO,2021.0
CAQUETÁ,0,2024-01-23,NO,2024.0
NO DEFINIDO,0,2025-09-03,NO,2025.0
CESAR,0,2026-01-07,NO,2026.0
TOLIMA,0,2024-03-19,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-02-15,NO,2021.0
NO DEFINIDO,0,2024-04-03,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2019-01-25,NO,2019.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-11-13,NO,2025.0
NO DEFINIDO,0,2024-05-30,NO,2024.0
NO DEFINIDO,0,2022-10-27,NO,2022.0
TOLIMA,0,2024-11-18,NO,2024.0
CESAR,0,2022-01-25,NO,2022.0
VALLE DEL CAUCA,0,2021-11-12,NO,2021.0
CUNDINAMARCA,0,2025-02-24,NO,2025.0
SANTANDER,0,2022-10-11,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-20,NO,2026.0
SUCRE,0,2022-07-07,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,41325000,2021-11-18,SI,2021.0
ANTIOQUIA,0,2024-04-08,NO,2024.0
CALDAS,0,2026-01-17,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-16,NO,2026.0
QUINDÍO,0,2021-01-20,NO,2021.0
NARIÑO,0,2025-02-01,NO,2025.0
ANTIOQUIA,0,2022-06-30,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-03-31,NO,2020.0
CAUCA,114734375,2023-12-05,SI,2023.0
HUILA,0,2024-11-24,NO,2024.0
